customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,total_orders,avg_order_value,last_order_date,orders_in_data,total_spend,recency_days,tenure_days
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,13,451.92,2024-07-12 09:59:18,4.0,12315.91,115.0,541
22077605,Megha Sachar,vedant45@example.com,915123179717,"51/302, Buch Chowk
Srinagar-570271",Aligarh,149394,2024-06-18,Inactive,4,825.48,2024-03-07 08:59:56,2.0,2648.55,242.0,139
47822591,Hema Bahri,samiazaan@example.com,910034076149,"941
Anne Street, Darbhanga 186125",Begusarai,621411,2024-09-25,Regular,17,1969.81,2023-04-30 19:35:17,1.0,3090.86,554.0,40
79726146,Zaitra Vig,ishanvi87@example.org,916264232390,"43/94, Ghosh, Alappuzha 635655",Kozhikode,826054,2023-10-04,New,4,220.09,2023-09-19 00:26:15,1.0,3415.39,412.0,397
57102800,Januja Verma,atideshpande@example.org,917293526596,"06
Om, Ambarnath 477463",Ichalkaranji,730539,2024-03-22,Inactive,14,578.14,2024-08-03 07:23:35,3.0,3594.1499999999996,93.0,227
54748429,Darsh More,ynayar@example.org,912582120513,"26/961
Salvi Circle, Durg 406361",Visakhapatnam,883122,2024-04-22,New,2,669.35,2024-09-14 10:42:22,2.0,7270.75,51.0,196
49152878,Patrick Sandhu,zehaanmahajan@example.org,912413014420,"304
Tara Road, Gandhinagar-559930",Gwalior,649817,2024-09-13,Premium,4,973.62,2024-07-16 01:14:38,4.0,7062.54,111.0,52
16379942,Harshil Kuruvilla,pathakanirudh@example.org,913807361990,"37/62, Basu Chowk
Sikar 515907",Orai,332997,2024-04-10,Inactive,15,1370.56,2024-04-22 07:45:06,4.0,5727.700000000001,196.0,208
11071601,Ojas Ahuja,sneha11@example.com,912865080618,"H.No. 99
Kade Road
Ramgarh 695009",Buxar,528426,2023-07-04,Inactive,17,1950.54,2024-07-16 13:16:12,2.0,4320.68,111.0,489
68164013,Netra Chander,hwarrior@example.org,917645901970,"H.No. 94
Gupta Path, Hospet-831040",Malegaon,4515,2023-06-29,New,1,1061.82,,0.0,0.0,,494
80404839,Kashish Dora,pushti81@example.net,912463646408,"H.No. 24
Pant Street, Mathura 348430",Katni,642727,2023-04-13,Inactive,10,1537.35,,0.0,0.0,,571
27038630,Megha Thakkar,zinalsarna@example.com,916726295759,"H.No. 81
Sama Street, Danapur-137828",Fatehpur,393286,2023-04-27,Regular,11,1307.28,,0.0,0.0,,557
1655637,Turvi Radhakrishnan,mpandit@example.org,919130065165,"H.No. 404, Bhalla Chowk
Visakhapatnam 048875",Ichalkaranji,548633,2023-09-17,Regular,19,723.95,2023-10-31 21:33:55,1.0,3517.14,369.0,414
75566105,Dipta Doctor,peterdhaliwal@example.org,912758132658,"586
Badami Zila, Madhyamgram-394655",Hyderabad,871594,2024-03-20,Regular,18,1432.53,2023-07-09 20:06:51,2.0,2725.29,484.0,229
23961725,Zayyan Buch,kalpithayre@example.net,913139982063,"71/67, Oommen Ganj, Purnia 250900",Bhiwandi,629210,2024-05-11,Regular,6,367.74,2023-12-13 09:25:07,1.0,3804.98,327.0,177
67749649,Oviya Mitra,aaravdugar@example.com,919890802849,"103, Mahajan Circle
Silchar 256345",Mira-Bhayandar,222577,2024-04-10,Inactive,11,281.16,2023-11-28 03:30:12,1.0,3778.41,342.0,208
61461253,Arin Setty,naidushivani@example.org,917060856166,"63/164, Kari Chowk
Moradabad 624164",Amravati,381991,2024-08-29,Inactive,4,789.5,,0.0,0.0,,67
30619659,Lohit Kalla,vincent81@example.com,914466575315,"58/882, Ramanathan
Nashik 371218",Kochi,400041,2024-09-18,Inactive,14,1992.42,,0.0,0.0,,47
50229203,Rushil Dhingra,htella@example.org,910837043539,"H.No. 99
Ravel Street
Avadi 655413",Tiruchirappalli,598757,2023-09-14,Regular,7,1731.87,2024-10-24 08:05:56,2.0,2761.32,11.0,417
13567338,Wahab Borah,bhattlakshit@example.com,912286009144,"H.No. 739, Dewan Marg
Jamshedpur 475311",Hubli–Dharwad,509163,2024-10-14,Premium,10,1054.12,2023-10-02 17:16:55,1.0,916.92,399.0,21
7591711,Triya Kakar,xshetty@example.net,913247466748,"H.No. 65, Ratti Circle, Nellore-187667",Nagercoil,792550,2024-01-30,Regular,12,1494.0,2023-12-21 14:21:21,4.0,7305.79,319.0,279
22102079,Vrinda Lalla,balakrishnanyutika@example.net,917567554265,"H.No. 73
Gupta Road, Barasat 506282",Alwar,595920,2024-06-21,Premium,10,615.86,,0.0,0.0,,136
48910430,Janani Prasad,abhirambabu@example.com,918550270063,"149
Pall Path, Aurangabad-876025",Bardhaman,125846,2024-09-04,Premium,3,1474.04,,0.0,0.0,,61
27604184,Tripti Nadig,tmaster@example.com,918533188202,"04/18
Maharaj Zila
Pudukkottai 529324",Nandyal,279361,2023-10-06,New,9,1108.86,2024-08-12 19:26:07,5.0,11059.84,84.0,395
79672044,Jagdish Vora,hemangini55@example.com,915901330659,"92, Choudhury Ganj, Bhopal-000074",Hapur,964688,2023-12-17,New,8,1115.88,2024-07-24 02:59:03,3.0,7650.41,103.0,323
13461704,Zayan Ratta,shivansh35@example.com,914996250775,"33/78
Joshi Path, Ludhiana-975587",Nanded,770516,2024-04-04,Premium,4,1024.45,2023-11-18 13:28:26,1.0,2279.47,352.0,214
66135710,Zayan Thakkar,ranveer19@example.net,914797514705,"68/55, Bhattacharyya Zila, Coimbatore 134031",Ramgarh,352680,2023-11-28,New,6,308.63,2024-08-18 17:15:12,3.0,5757.45,78.0,342
50572914,Ishani Mukherjee,shivani15@example.net,916128520461,"H.No. 68, Gade Chowk
Siliguri-878991",Bihar Sharif,654429,2023-10-21,Regular,20,701.55,2023-04-23 05:36:37,2.0,3905.92,561.0,380
4386273,Jagrati Sengupta,pandeymahika@example.org,911622184828,"20, Jayaraman Zila
Khora -207127",Nandyal,494307,2024-06-26,Inactive,12,298.97,2024-08-19 07:50:08,3.0,4354.88,77.0,131
57537308,Ayush Buch,morejagdish@example.net,912414404228,"079
Goyal Zila, Bhiwani-715658",Jorhat,779981,2024-05-18,New,8,1641.88,2024-07-12 00:41:44,3.0,7737.799999999999,115.0,170
34526442,Harita Chatterjee,gaurika82@example.com,911099088799,"H.No. 249, Malhotra
Ghaziabad-893659",Raipur,674102,2023-09-27,Regular,14,1956.45,2024-10-18 05:43:01,1.0,4073.52,17.0,404
67383024,Riya Kothari,chowdhuryimaran@example.net,917775061608,"648, Biswas Street, Jalandhar 957104",Kollam,436202,2024-04-10,Premium,14,1240.9,2024-06-12 01:40:22,2.0,5385.49,145.0,208
28350645,Alka Srinivasan,xtalwar@example.org,917083212594,"623, Bassi Chowk, Patiala-864851",Ratlam,360999,2024-01-12,Inactive,9,553.0,2024-05-07 13:36:19,2.0,824.99,181.0,297
81940369,Nilima Chaudhuri,agrawalmugdha@example.com,912540363435,"H.No. 466, Bhavsar Nagar, Kalyan-Dombivli-115231",Nellore,522947,2024-02-24,Premium,10,316.79,2023-08-26 07:39:48,2.0,7271.49,436.0,254
89950235,Aarav Dayal,darsh33@example.net,912975749481,"H.No. 639
Chowdhury Path, Tadepalligudem-993818",Warangal,334280,2023-12-24,Premium,13,1179.29,2024-08-05 15:28:00,1.0,1827.9,91.0,316
88202341,Jagrati Dubey,vasatika03@example.net,916290915278,"470, Kibe Zila, Tirupati-332036",Kottayam,174979,2023-08-20,Inactive,9,644.06,2023-08-18 07:48:46,2.0,4966.29,444.0,442
41155125,Yahvi Doshi,daliaoviya@example.com,918695302072,"11
Kaul Path, Berhampore 085176",Tenali,82916,2024-04-22,Inactive,14,1454.3,2024-06-18 15:23:30,4.0,9806.86,139.0,196
46369552,Keya Modi,bbumb@example.org,917249134497,"49/76
Bansal Path, Bangalore-861073",Jaipur,688982,2024-09-16,Regular,17,456.51,,0.0,0.0,,49
48943848,Tarak Nair,atwalmeghana@example.org,914393489828,"145, Apte Street
Orai-869408",Patiala,993533,2024-06-21,Premium,13,245.46,2023-12-31 11:47:11,2.0,6554.45,309.0,136
39645619,Indira Jaggi,falaksunder@example.org,913217797684,"08/524
Toor Path, Imphal 250392",Maheshtala,740640,2023-06-17,Regular,13,1512.4,2024-06-06 13:46:34,1.0,1039.32,151.0,506
76917159,Hiral Arya,mason40@example.net,919423640425,"53/93, Saran Road, Sambhal 129176",Ludhiana,591173,2024-06-23,Premium,11,1777.83,2024-09-21 15:30:00,5.0,12795.12,44.0,134
72366758,Vedant Sengupta,xbarad@example.net,915548301513,"51/364, Dewan Path
Mumbai-975747",Ichalkaranji,228827,2023-11-19,Inactive,9,513.7,2023-11-26 12:35:15,4.0,4550.91,344.0,351
66140659,Omya Iyengar,ishanimaharaj@example.net,916881997869,"H.No. 51, Lanka Street
Bettiah 293595",Ongole,15696,2023-12-09,Premium,8,509.85,2023-07-20 05:40:36,1.0,3268.53,473.0,331
87457446,Yashodhara Sarraf,prabhudaksha@example.com,916371662776,"H.No. 80
Seshadri Chowk
Chittoor 085684",Katihar,525466,2024-07-02,Premium,7,1301.39,2024-08-09 00:24:44,1.0,2424.07,87.0,125
10830043,Gabriel Iyer,bbala@example.com,917749185958,"H.No. 369, Buch Circle, Jammu-963201",Hospet,548469,2023-10-15,New,9,899.6,2023-07-10 14:59:43,1.0,2244.39,483.0,386
97150234,Ishaan Brahmbhatt,madhavi33@example.com,917565232774,"997, Lala Path
Anantapuram-222697",Bihar Sharif,945899,2023-11-22,New,13,1527.55,2024-05-01 15:04:50,2.0,5370.55,187.0,348
72489544,Sanaya Joshi,gsampath@example.net,917642751322,"H.No. 551, Bava Chowk
Madurai-398541",Siwan,332066,2024-09-19,Inactive,17,1600.17,2024-04-15 17:01:06,3.0,7261.15,203.0,46
81352781,Brinda Bassi,jminhas@example.net,912401887733,"03/95, Virk Road
Satna 527580",Dehradun,455587,2024-02-27,Regular,4,564.55,2023-06-16 08:01:25,1.0,2638.38,507.0,251
88130777,Darsh Gupta,xdash@example.org,918488103744,"508
Brar Path, Machilipatnam 589416",North Dumdum,424291,2023-10-17,New,16,301.23,2024-07-05 09:03:19,1.0,909.62,122.0,384
65294340,Jasmit Kota,arjunbandi@example.com,918690426482,"53/982, Pandya Marg
Anantapur-635508",Jamalpur,835263,2024-04-16,New,17,356.29,2024-04-11 02:15:28,3.0,7535.4800000000005,207.0,202
40387944,Chavvi Gill,qabil65@example.net,913771369246,"584, Mohanty Marg, Mirzapur-256533",Parbhani,373298,2024-03-15,Regular,10,569.91,2024-02-28 14:00:15,2.0,2641.26,250.0,234
91868185,Raghav Sathe,ekaniparmer@example.org,919502350382,"00/26, Chandra Chowk, Uluberia 117916",Srinagar,517675,2023-10-15,New,1,1657.84,2024-05-08 08:15:44,2.0,2337.98,180.0,386
31846190,Charan Choudhary,tristantank@example.org,913765675938,"23/56, Kadakia Marg
Patna-321511",Kolkata,264654,2024-09-08,New,4,1176.18,2024-06-30 00:12:33,2.0,4329.94,127.0,57
15529446,Pallavi Goda,samarthpandey@example.com,911060144223,"H.No. 264
Master Chowk, Patna-122382",Haridwar,665417,2023-10-10,Premium,9,854.35,2023-07-29 09:53:46,2.0,358.07,464.0,391
20956158,Kashish Misra,issacjalsa@example.net,918164398862,"55/77
Nadkarni Zila
Machilipatnam 232117",Kavali,767570,2024-03-10,Premium,7,312.69,2024-04-04 03:34:32,6.0,9880.18,214.0,239
68159723,Yashvi Pathak,wallaarunima@example.org,916156322453,"866, Zachariah Zila
Madurai 896328",Orai,197279,2024-05-21,New,6,1214.62,2024-10-12 11:58:44,4.0,15434.41,23.0,167
48554440,Rohan Ganesan,bhavika36@example.net,919450531493,"27/72
Raj Chowk, Bhiwani-471346",Malegaon,231443,2024-03-28,Regular,17,1354.99,2024-06-21 02:56:30,3.0,7958.889999999999,136.0,221
966247,Jeevika Deo,sbalasubramanian@example.net,914778660685,"894, Chanda Road
Kamarhati 134874",Junagadh,410259,2023-11-16,Inactive,13,1110.76,2024-04-18 16:18:41,1.0,3110.34,200.0,354
40015980,Dipta Deshmukh,dugarpooja@example.org,919603818038,"96/245, Karnik Street
Bijapur-598528",Katni,118043,2023-06-28,New,18,1031.91,,0.0,0.0,,495
63262519,Benjamin Balakrishnan,nkaran@example.com,912022513666,"H.No. 08
Kalla Road
Udupi 906901",Karaikudi,681242,2024-02-21,Regular,10,607.45,2024-03-11 12:51:36,4.0,7536.75,238.0,257
81763298,Laban Kumar,xhanda@example.com,917218237156,"71
Chadha Marg, Tezpur 405760",Ichalkaranji,469063,2023-07-29,Premium,1,1747.14,2024-09-30 23:16:20,2.0,4453.99,34.0,464
49985597,Neel Rastogi,rachana02@example.net,910963742438,"27/024, Kumer Circle, Kurnool-562150",Kishanganj,147502,2024-08-06,Regular,3,775.73,2024-09-15 22:20:56,2.0,7589.110000000001,49.0,90
21282544,Warda Basak,lchoudhary@example.net,919755371641,"413
Kakar Road
Ujjain 345914",Jaunpur,808063,2024-08-28,Regular,16,657.98,2023-10-23 18:35:21,3.0,7390.42,378.0,68
78868716,Sai Chhabra,mahika95@example.net,912345303128,"H.No. 581
Prabhakar Road, Morena 912519",Madhyamgram,179333,2023-12-10,Inactive,5,1774.41,,0.0,0.0,,330
30733165,Gaurang Grewal,gramesh@example.org,916506983114,"94/94, Hayer Ganj, Dhanbad-672298",Ujjain,119364,2024-05-10,Inactive,10,1609.11,,0.0,0.0,,178
78678612,Kritika Padmanabhan,divyaluthra@example.com,919528247423,"H.No. 71
Shroff Nagar, Bellary-820754",Mehsana,505469,2024-06-20,Premium,1,795.06,2024-09-21 01:54:08,3.0,6559.789999999999,44.0,137
48511124,Girish Shankar,aggarwalhenry@example.org,912703776064,"H.No. 39, Sekhon Street, Sagar 312966",Korba,315557,2023-05-15,Inactive,10,1076.14,2024-04-15 02:48:52,2.0,6484.73,203.0,539
26412689,Yadavi Rastogi,hemanimander@example.net,915932940928,"H.No. 486, Chaudhary Road
Gangtok-942061",Bahraich,693005,2024-06-13,Regular,1,1700.46,2024-09-17 05:59:27,1.0,2147.13,48.0,144
26303194,Janaki Parsa,bhargavanachiket@example.org,911394026169,"49
Varghese Road, Raichur-972279",Pali,544786,2023-04-29,Premium,18,1045.94,2024-10-19 12:16:02,4.0,6050.299999999999,16.0,555
93735495,Urvi Prasad,sanyathaman@example.org,914690237071,"H.No. 537, Solanki Nagar, Adoni-229163",Jehanabad,984732,2023-05-23,Regular,7,871.15,2024-06-15 04:48:21,1.0,3373.41,142.0,531
8395610,Ranveer Subramanian,gourkeya@example.org,919565623211,"892, Shukla Path
Nandyal 578526",Erode,820741,2024-03-23,Inactive,18,294.53,2024-04-16 03:18:14,2.0,6443.63,202.0,226
41640262,Vihaan Gola,samesh12@example.com,913681309390,"708
Rao Nagar
Gandhidham-720600",Ulhasnagar,275919,2023-08-17,Inactive,9,1805.87,2024-06-27 08:52:11,6.0,12760.74,130.0,445
60618999,Lopa Vig,dalbir15@example.org,916107809027,"551, Sawhney Road
Satna 010828",Pudukkottai,596613,2024-07-28,Regular,15,1631.96,,0.0,0.0,,99
77220027,Aryan Krish,agatedaksh@example.com,912081733998,"18/938, Pai Marg
Aurangabad 807716",Coimbatore,387538,2023-12-11,Premium,16,551.81,2023-11-15 21:48:52,1.0,874.78,354.0,329
32019725,Tarak Rout,nitarabatta@example.net,918312294019,"H.No. 952, Munshi Zila
Pondicherry 250063",Panchkula,791364,2024-01-19,Premium,19,1169.96,2024-08-30 20:29:58,3.0,10448.23,65.0,290
38709137,Neha Gade,lmahal@example.com,917282970070,"34/477, Bali Ganj, Udaipur 580186",Mau,855661,2023-07-07,Inactive,18,1307.64,2024-01-16 07:41:08,1.0,2128.54,293.0,486
11540364,Jonathan Virk,wiyer@example.net,919470187869,"H.No. 14, Bir Path
Ujjain 314070",Firozabad,94033,2024-09-24,New,20,517.32,2023-11-17 13:40:42,1.0,3402.86,353.0,41
59207798,Chakrika Bhargava,omlopa@example.org,912674586312,"18
Master Zila
Miryalaguda 319766",Ballia,78765,2023-07-02,Premium,4,1441.64,2024-09-19 17:04:31,2.0,5040.84,46.0,491
10797688,Sudiksha Mannan,janigauri@example.net,911173858493,"782, Golla Ganj
Kottayam-979207",Bathinda,220981,2023-05-22,New,7,1017.39,2024-02-10 07:33:39,1.0,2232.88,268.0,532
88965399,Darsh Sura,yachanabalakrishnan@example.net,915674743154,"H.No. 599
Menon Path, Kalyan-Dombivli 164642",Guntur,563500,2024-05-28,Regular,3,1144.21,2023-04-24 21:33:02,1.0,1756.7,559.0,160
10608845,Aadi Gole,vbalan@example.com,918797630971,"69/876, Varughese Path
Tadipatri 100656",Bhilwara,702163,2024-03-29,Premium,2,735.36,2023-09-26 23:28:51,1.0,2265.63,404.0,220
28603182,Karan Narayan,zaid12@example.net,915668029297,"470
Ravi Ganj, Ulhasnagar-033422",South Dumdum,663469,2024-08-02,New,11,490.13,2024-06-25 15:25:20,2.0,5799.52,132.0,94
